"season_1","season_2","team_id","team_name","player_id","player_name","game_id","game_date","home_team","away_team","quarter","mins_left","secs_left","secs_left_q","event_type","shot_made","action_type","shot_type","basic_zone","zone_name","zone_abb","zone_range","loc_x","loc_y","shot_distance","is_three","shot_value","is_clutch"
2008,"2007-08","1610612751","New Jersey Nets","1713","Vince Carter","20700309","2007-12-11","NJN","LAC",1,1,35,96,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Center","C","24+ ft.","5.1","30.05","25",1,3,0
2008,"2007-08","1610612760","Seattle SuperSonics","2555","Nick Collison","20700311","2007-12-11","CHI","SEA",1,1,44,105,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","2742","Sebastian Telfair","20700306","2007-12-11","WAS","MIN",1,1,57,118,"Made Shot",True,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","1.3","4.95","1",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","2549","Chris Kaman","20700309","2007-12-11","NJN","LAC",1,1,49,110,"Made Shot",True,"Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-7.1","5.75","7",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","2740","Andris Biedrins","20700313","2007-12-11","GSW","SAS",1,2,36,98,"Missed Shot",False,"Tip Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612764","Washington Wizards","1712","Antawn Jamison","20700306","2007-12-11","WAS","MIN",1,2,10,72,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","16-24 ft.","-18.9","2.35","19",0,2,0
2008,"2007-08","1610612761","Toronto Raptors","2547","Chris Bosh","20700307","2007-12-11","ATL","TOR",1,4,7,71,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","12.8","18.95","18",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","101122","Danny Granger","20700308","2007-12-11","CLE","IND",1,4,8,72,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","22.8","15.75","25",1,3,0
2008,"2007-08","1610612744","Golden State Warriors","2740","Andris Biedrins","20700313","2007-12-11","GSW","SAS",1,2,37,99,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","2.5","6.75","2",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","739","Rasheed Wallace","20700310","2007-12-11","MEM","DET",1,2,40,102,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","10.2","26.75","23",1,3,0
2008,"2007-08","1610612751","New Jersey Nets","2210","Richard Jefferson","20700309","2007-12-11","NJN","LAC",1,2,8,70,"Made Shot",True,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612763","Memphis Grizzlies","2200","Pau Gasol","20700310","2007-12-11","MEM","DET",1,2,56,118,"Made Shot",True,"Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","4.8","6.75","5",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","1887","Wally Szczerbiak","20700311","2007-12-11","CHI","SEA",1,1,54,115,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","18.2","9.75","18",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1884","Baron Davis","20700313","2007-12-11","GSW","SAS",1,2,48,110,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","20.9","18.75","24",1,3,0
2008,"2007-08","1610612765","Detroit Pistons","1888","Richard Hamilton","20700310","2007-12-11","MEM","DET",1,3,10,73,"Made Shot",True,"Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","201145","Jeff Green","20700311","2007-12-11","CHI","SEA",1,1,58,119,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-11.7","13.95","14",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","200783","Craig Smith","20700306","2007-12-11","WAS","MIN",1,2,24,86,"Made Shot",True,"Putback Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","1497","Chauncey Billups","20700310","2007-12-11","MEM","DET",1,3,22,85,"Made Shot",True,"Driving Finger Roll Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612762","Utah Jazz","2430","Carlos Boozer","20700312","2007-12-11","UTA","POR",1,3,31,94,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1884","Baron Davis","20700313","2007-12-11","GSW","SAS",1,3,10,73,"Made Shot",True,"Driving Finger Roll Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","3.4","8.25","4",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","2736","Luol Deng","20700311","2007-12-11","CHI","SEA",1,2,15,77,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","2557","Luke Ridnour","20700311","2007-12-11","CHI","SEA",1,2,30,92,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","19.1","8.85","19",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","952","Antoine Walker","20700306","2007-12-11","WAS","MIN",1,2,24,86,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","3.1","10.55","6",0,2,0
2008,"2007-08","1610612763","Memphis Grizzlies","2545","Darko Milicic","20700310","2007-12-11","MEM","DET",1,3,31,94,"Missed Shot",False,"Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","4.3","9.35","5",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","2732","Ben Gordon","20700311","2007-12-11","CHI","SEA",1,2,47,109,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","8.7","29.75","25",1,3,0
2008,"2007-08","1610612762","Utah Jazz","2430","Carlos Boozer","20700312","2007-12-11","UTA","POR",1,3,45,108,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","8-16 ft.","8.9","11.85","11",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","1716","Larry Hughes","20700308","2007-12-11","CLE","IND",1,4,23,87,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-10.7","24.65","22",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","2207","Joe Johnson","20700307","2007-12-11","ATL","TOR",1,4,21,85,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612761","Toronto Raptors","2551","T.J. Ford","20700307","2007-12-11","ATL","TOR",1,4,39,103,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-8.2","23.55","20",0,2,0
